period,appreciation_return,avg_sale_price,cap_rate,market_cap_rate,starts_sf,starts_sf_12_mo,demand_sf,demolished_sf,gross_delivered_sf,inventory_sf,leasing_sf_total,asking_rent_growth,asking_rent_growth_12_mo,net_absorp_sf,net_absorp_sf_12_mo,net_delivered_sf,net_delivered_sf_12_mo,occupancy_rate,sales_volume,sold_building_sf,vacancy_rate,under_construction_sf,total_sales_transactions,bond_yield_10yr_x,one_yr_inf_exp,two_yr_inf_exp,three_yr_inf_exp,four_yr_inf_exp,five_yr_inf_exp,six_yr_inf_exp,seven_yr_inf_exp,eight_yr_inf_exp,nine_yr_inf_exp,ten_yr_inf_exp,ten_yr_risk_premium,fed_funds_rate,cmbs_to_gdp,bond_yield_10yr_y
2000-01-01,0.36337576606077737,0.6819211149253582,1.3802395943606336,1.743900997802211,3.041287506808119,3.2924314318916217,-2.173649210257024,-0.6604949072491852,3.003838309471735,-2.6770602971821758,5.295074248701823,0.7658227584359012,0.34817222821857613,2.8081736035208094,2.4870499541348865,2.962937226968224,2.773723028018779,2.5603210518815427,-1.466014004870093,-0.6133717726369988,-2.5603221068915394,2.2866181084744386,-1.4900487331910646,2.478999783671389,1.713626706449345,2.367983058741116,2.6150345492883043,2.737179586120022,2.807535540008116,2.8519961796686952,2.8819250817078648,2.902996867883721,2.918304928893815,2.929650441415563,1.3312283289958602,1.865409435053978,-1.9416663712205349,2.478999783671389
2000-04-01,0.07877268731098805,0.05595681602261178,1.7421321606206737,1.7783704774545284,2.5352776224311384,2.996353679004251,-1.8698758559704036,-0.6604949072491852,1.2285534902479698,-2.5745264080241825,4.621633693221571,0.8933261688171715,0.4216152573010769,3.535323320045512,2.7376425295157527,1.320060530935822,2.3661914789694305,3.1368252953376943,-0.9981028653011662,-0.5636744181558029,-3.1368245250684264,2.6036666251520932,-1.0753885218306805,2.2437441493427297,2.1031203343686626,2.533603312693038,2.6681136569117507,2.7256967887739068,2.7548909849094128,2.77120501289496,2.7808975393928934,2.786858026839868,2.790544310278865,2.7927420914587997,0.20993438165651973,2.1616585379664115,-1.918510418764971,2.2437441493427297
2000-07-01,-0.06325692498565896,-0.31939160502430186,1.9755113213429754,1.983072094055798,3.920072123384488,3.289109515773597,-2.002495583112512,-0.6604949072491852,1.2076256800932808,-2.472875922247699,3.5198611873998167,0.061910055638686796,0.3442980682867471,-2.159841588033085,1.16361395708987,1.3006936038772319,2.2310508955118014,2.339564556761483,-1.2723956022898475,-0.8877717668704814,-2.3395648626179533,3.3216322942382277,-1.3481912924625121,2.0239998755192503,1.6661430199675855,2.1149477800127787,2.2345229607688317,2.274727595491375,2.289880838878205,2.2956751750441486,2.297621246067948,2.2978855981570203,2.297379769254206,2.296502686073909,-0.5342707022076946,2.284130234142501,-1.8314292335139017,2.0239998755192503
2000-10-01,-0.2796748486710052,0.21878416370017906,1.8616523167821497,2.026156992273128,1.895416014967878,3.148478271020373,-1.8446961619934816,-0.4796202476799475,2.448885532728421,-2.3211170771427843,2.5606077781244605,0.22151786966252468,0.5518146938074804,1.6307556033851203,1.9801256346149347,2.399223404025462,2.214525321172898,2.274869965364884,-1.2239910016447861,-0.42008698933740674,-2.2748698985719003,3.090397091192271,-1.2827186275108726,1.7706476539345437,1.6602791277431195,1.9908872067804102,2.053454943099376,2.0612938222470594,2.056037464755468,2.048074697073433,2.0403031654626154,2.033462939103416,2.0276303903097914,2.0226884126502407,-0.6860630966282211,2.260959913244322,-1.7412350466988886,1.7706476539345437
2001-01-01,-0.36514723107826624,-1.058435425293265,2.4511469374376937,2.0977723338700915,0.2285480452764982,2.3551488118192845,-1.8110947817331864,-0.48936486996424017,1.8747199514208897,-2.193471627134164,1.1499607693998912,-0.5023991564615105,0.18181673889448818,0.010309707699061983,1.0129703194190103,1.8705834036134408,1.9055943563469329,1.9179295945352028,-1.2723956022898475,-1.1356999981468114,-1.9179291427635272,2.5563064054102296,-1.3591034032877853,1.369937507550558,0.6601935972492166,1.0211751205397508,1.1117140262797702,1.137700738080968,1.145230485000287,1.146981595706294,1.1470011313046777,1.1466718560351923,1.1464655910718236,1.1465253499873334,-1.2123970372796722,1.8240338620215153,-1.8758707051843853,1.369937507550558
2001-04-01,-0.340007605325525,-0.1418564377470089,2.8283832306234697,2.1354220772507335,1.0827969412803908,1.945478549416135,-1.7159198165561353,-0.1970035921030134,2.2164418717968775,-2.0550990884055698,0.8436438386003887,-0.45189977679027393,-0.20539742096103766,0.8136679291230322,0.07215848028942691,2.1057542770097792,2.127798116559818,1.7171369488987744,-1.466014004870093,-0.962612994639045,-1.7171361187359342,2.1631909865581056,-1.4900487331910646,1.5405624731076086,0.9719992810278153,1.2924264866809816,1.4077183421824877,1.4632539116688814,1.4950085225718879,1.5152595311417967,1.5292384066963933,1.5394972822567663,1.5474008366548488,1.5537308937319032,-0.40503927075956736,1.1951251519280812,-1.8258769244116964,1.5405624731076086
2001-07-01,-0.37111300140687653,-0.5189910180090703,1.8131960460568648,2.164001954781557,0.04134571261927147,0.8514888756744468,-1.7654491047085423,-0.46205279636928526,2.348462302149063,-1.9078014875678269,0.1917465972513235,-1.652872051710467,-0.696535834781115,-1.074321067168702,0.4473972269189821,2.301419168586289,2.410815493916649,1.0561843791953185,-1.449879137988406,-1.0072056575261568,-1.0561835211482997,1.433692334760755,-1.4791366223657914,1.3156477457824058,1.15445622840458,1.3974783625629077,1.4827255130897359,1.5240365604662374,1.5477783399526204,1.5629291133317296,1.573369979866954,1.5810185975124897,1.5869078230762914,1.5916298474276238,-0.4176728557574372,0.7830244445247516,-1.6022439990827344,1.3156477457824058
2001-10-01,-0.2841421477002235,-0.5003812436458474,1.761909910909983,2.0742746339908438,0.8317967455435566,0.5514964621045174,-1.7690010683979065,-0.5520530123932785,2.0331180484025535,-1.7726768955618182,0.7619612305776348,-1.4759301104375675,-1.1739199709923804,-0.47445303603804434,-0.28032356330783914,2.0345492662715987,2.30768120645896,0.5871996405477838,-1.4337442711067188,-0.9905935738752932,-0.5871987627153101,1.0240187148682627,-1.4682245115405181,1.1527784604779474,0.49353723460889026,0.7375404347220235,0.853669350705691,0.9212244858867192,0.965077003741733,0.9956253027307569,1.0180822084496433,1.0353374327177527,1.0491008726057074,1.0604344291733334,-0.9151789249379874,0.10612006971366053,-1.3830386901538934,1.1527784604779474
2002-01-01,-0.18827570093549856,-0.008263135716378515,1.914828585103665,1.9745035078445776,0.8012402516276766,0.713023544355449,-1.7705474481698504,-0.6454220189517488,2.31755833044243,-1.624364639027467,0.42142455709294546,-1.8301287095750545,-1.543794882835526,-0.44827674082276237,-0.43884604248456094,2.323663551251232,2.435817790192757,0.09042650186301728,-1.7725764756221485,-1.154524902886864,-0.09042671283319455,0.5203434144028287,-1.6973788388712567,1.3906193215574765,0.15712347825325715,0.7306964400647562,1.0278124275166842,1.2047448156025746,1.3202056694748083,1.4003119198677976,1.4585282052401671,1.5024430843066157,1.5366026113912334,1.5638598451306296,1.300375998507495,-0.09248268084216077,-1.3817815670177687,1.3906193215574765
2002-04-01,0.043618150755253104,-0.6008880326544888,1.5827719524053732,1.7826304871174368,0.44482425047380225,0.5330841874741488,-1.6470705933088177,-0.5964351319850802,-0.016737020687356333,-1.5752070726134249,0.31652119657208333,-1.261705338675665,-1.7663695061077116,1.1829349213961284,-0.31119918488127357,0.1498868923970261,1.882674673666301,0.2903757296069347,-1.3046653360532217,-1.112972857789616,-0.29037520917226994,0.6150689322585114,-1.3591034032877853,1.408715908813524,0.7221064158342004,1.1323896019147925,1.3541891670606043,1.490755179134843,1.5813622787888282,1.644661775642651,1.6907435536356068,1.725466062720661,1.75239958900416,1.77380608767813,0.9183560092120583,-0.08420756623566823,-1.2902685502647313,1.408715908813524
