period,appreciation_return,availability_rate,available_df_direct,avg_sale_price,cap_rate,market_cap_rate,starts_sf,starts_sf_12_mo,demand_sf,demolished_sf,gross_delivered_sf,inventory_sf,leasing_sf_total,asking_rent_growth,asking_rent_growth_12_mo,net_absorp_sf,net_absorp_sf_12_mo,net_delivered_sf,net_delivered_sf_12_mo,occupancy_rate,sales_volume,sold_building_sf,vacancy_rate,under_construction_sf,total_sales_transactions,bond_yield_10yr_x,one_yr_inf_exp,two_yr_inf_exp,three_yr_inf_exp,four_yr_inf_exp,five_yr_inf_exp,six_yr_inf_exp,seven_yr_inf_exp,eight_yr_inf_exp,nine_yr_inf_exp,ten_yr_inf_exp,ten_yr_risk_premium,fed_funds_rate,cmbs_to_gdp,bond_yield_10yr_y,availability
2000-01-01,1.9962115213275,,,5662759.0,9.8645456135273,9.707598388195041,3513818.0,13834133.0,233634640.0,0.0,3723806.0,254074365,13148926.0,1.12982131540775,2.78086196631193,4044684.0,11239781.0,3723806.0,13084822,91.9552206993103,66.0,3097579.0,8.044777810573581,12146371.0,66.0,6.48,3.1587374666666665,3.272574933333333,3.311377733333334,3.3276155000000003,3.333819333333333,3.3347068,3.3325173,3.3284586,3.3232361666666668,3.3172853333333334,1.3216976333333335,5.676666666666667,10.858743879708612,6.48,
2000-04-01,0.0296027836157009,,,4170181.0,10.243571549654,9.73721072077751,3087883.0,12950512.0,238588112.0,0.0,2151416.0,256225781,12018789.0,1.25354239717126,3.03079281002283,4953472.0,12145800.0,2151416.0,11705650,93.1163609027863,95.0,3248929.0,6.88364133238792,13082838.0,104.0,6.176666666666669,3.411166833333333,3.3620706,3.3384165,3.321965333333333,3.3086168666666667,3.2969783333333336,3.2864447666666665,3.2767075,3.267590033333333,3.2589821999999997,1.2407767333333333,6.273333333333333,10.895662644959074,6.176666666666669,
2000-07-01,-0.951822567731142,,,3275183.0,10.487999767065,9.91306751966476,4253537.0,13824219.0,236425552.0,0.0,2132880.0,258358661,10169845.0,0.446789851412177,2.76767797768116,-2164316.0,6454890.0,2132880.0,11248306,91.5105938911438,78.0,2261912.0,8.4894061088562,15203495.0,79.0,5.89333333333333,3.1279634666666665,3.1358430999999998,3.1175432,3.1000637333333336,3.0860031,3.0749118333333336,3.0660517666666665,3.058822933333333,3.0527922333333333,3.0476560666666668,1.1870693666666667,6.52,11.034500805133469,5.89333333333333,
2000-10-01,-2.44727153331041,,,4558434.0,10.368750244379001,9.950081259012219,2549278.0,13404516.0,238998704.0,48000.0,3232278.0,261542939,8560070.0,0.60166297480464,3.4738689661026,2573153.0,9406993.0,3184278.0,11192380,91.38029217720029,81.0,3686215.0,8.619708567857739,14520495.0,85.0,5.56666666666667,3.1241631,3.0688049,3.0253062333333336,2.9950426,2.9740555333333334,2.9592855,2.9487046,2.940997033333333,2.9353029,2.9310508333333334,1.1761149,6.473333333333334,11.178302189091644,5.56666666666667,
2001-01-01,-3.03788613528013,,,1512973.0,10.986153781414,10.0116051733494,1146188.0,11036886.0,239546624.0,45414.0,2723733.0,264221258,6192787.0,-0.100779393687844,2.2147446870803797,547928.0,5910237.0,2678319.0,10146893,90.66137671470639,78.0,1506863.0,9.3386247754097,12942950.0,78.0,5.05,2.4760114,2.5448048,2.5455786333333332,2.5405841,2.5380259666666665,2.5384862666666663,2.5413237333333334,2.5458457333333335,2.5515116,2.557932233333333,1.1381307333333333,5.593333333333334,10.963645405722186,5.05,
2001-04-01,-2.86417119204998,,,3698506.0,11.3812498748302,10.0439496338367,1865254.0,9814257.0,241098592.0,123000.0,3026400.0,267124658,5678740.0,-0.051778054330498,0.8970326744019991,1551961.0,2508726.0,2903400.0,10898877,90.2569591999054,66.0,2033988.0,9.74304303526878,11781804.0,66.0,5.27,2.6780915000000003,2.6913799999999997,2.696364733333333,2.7007741333333337,2.7054748,2.7104674666666666,2.715638966666667,2.7208875000000003,2.7261389333333335,2.7313428333333336,1.1963956666666666,4.326666666666667,11.043353146523256,5.27,
2001-07-01,-3.0791096389293697,,,2799249.0,10.317999869585,10.068502277135801,988610.0,6549330.0,240290944.0,52662.0,3143332.0,270215328,4584756.0,-1.21712405234575,-0.774339539930224,-807638.0,3865404.0,3090670.0,11856667,88.9257311820984,67.0,1898184.0,11.0742710530758,9627082.0,67.0,4.98,2.796341166666667,2.7481465333333333,2.7345737666666663,2.7306825333333338,2.7307372333333335,2.7327285666666667,2.7357647,2.739389266666667,2.7433462000000004,2.7474822999999997,1.1954839333333334,3.4966666666666666,11.399903000749195,4.98,
2001-10-01,-2.47814059257507,,,2843623.0,10.2642856538296,9.99141857028008,1653974.0,5654026.0,240233024.0,28778.0,2864028.0,273050578,5541664.0,-1.04543101042509,-2.39890515804291,-57926.0,1234325.0,2835250.0,11507639,87.9811465740204,68.0,1948775.0,12.0188556611538,8417028.0,68.0,4.77,2.368002033333333,2.3915380666666666,2.4141293666666663,2.4340659000000002,2.4517813,2.4678047666666663,2.482531633333333,2.496235466666667,2.5091043999999996,2.521269966666667,1.1595802,2.1333333333333333,11.74939367091398,4.77,
2002-01-01,-1.8157029524445498,,,4017052.0,10.4244440793991,9.905706346035,1628253.0,6136091.0,240207808.0,4000.0,3115960.0,276162538,4970191.0,-1.38912247493863,-3.65761071443558,-25211.0,661186.0,3111960.0,11941280,86.9805932044983,47.0,1449533.0,13.0194067955017,6929321.0,47.0,5.076666666666671,2.1499735333333336,2.3878398,2.5028387333333333,2.5735734666666668,2.621791633333333,2.6567883666666665,2.6833923333333334,2.7043762666666664,2.721435766666667,2.7356563,1.3194711000000001,1.7333333333333334,11.751397969119488,5.076666666666671,
2002-04-01,-0.21331524476409003,,,2603970.0,10.076666623353999,9.74087044596672,1328239.0,5599076.0,242221280.0,17000.0,1048448.0,277193986,4794147.0,-0.8375611156225199,-4.4150449335575095,2013469.0,1122694.0,1031448.0,10069328,87.38331198692319,76.0,1576077.0,12.616689503192898,7209112.0,78.0,5.1,2.516136866666667,2.6049013999999997,2.6690967,2.7143062666666666,2.746814833333333,2.7708967,2.7892916666666667,2.8037546,2.8154261333333332,2.825063,1.2919017000000002,1.75,11.897302033715855,5.1,
