observation_date,TENEXPCHAREARISPRE
2017-10-01,1.2282870
2017-11-01,1.2272774
2017-12-01,1.1610032
2018-01-01,1.2183080
2018-02-01,1.2912536
2018-03-01,1.2306141
2018-04-01,1.2328859
2018-05-01,1.2843951
2018-06-01,1.2620296
2018-07-01,1.2543079
2018-08-01,1.2734675
2018-09-01,1.2468578
2018-10-01,1.2740029
2018-11-01,1.2667843
2018-12-01,1.2442892
2019-01-01,1.2070958
2019-02-01,1.2130935
2019-03-01,1.0207319
2019-04-01,1.0600166
2019-05-01,1.1371593
2019-06-01,1.1289913
2019-07-01,1.1479148
2019-08-01,1.1609962
2019-09-01,1.1464023
2019-10-01,1.1841650
2019-11-01,1.1995382
2019-12-01,1.2196729
2020-01-01,1.2199695
2020-02-01,1.1906984
2020-03-01,1.0199730
2020-04-01,1.0322013
2020-05-01,1.0736871
2020-06-01,1.0682220
2020-07-01,1.0530717
2020-08-01,1.0731986
2020-09-01,1.1089133
2020-10-01,1.1360730
2020-11-01,1.1655101
2020-12-01,1.1646201
2021-01-01,1.1682306
2021-02-01,1.1722263
2021-03-01,1.2057374
2021-04-01,1.2015461
2021-05-01,1.1745436
2021-06-01,1.1466392
2021-07-01,1.1560817
2021-08-01,1.1061539
2021-09-01,1.1518996
2021-10-01,1.1640596
2021-11-01,1.1802303
2021-12-01,1.1718709
2022-01-01,1.2068075
2022-02-01,1.2171895
2022-03-01,1.1623305
2022-04-01,1.4173954
2022-05-01,1.4372574
2022-06-01,1.3482276
2022-07-01,1.3112157
2022-08-01,1.2694036
2022-09-01,1.3973509
2022-10-01,1.4823361
2022-11-01,1.4993449
2022-12-01,1.4022366
2023-01-01,1.3946749
2023-02-01,1.3155493
2023-03-01,1.4730827
2023-04-01,1.3602682
2023-05-01,1.3745858
2023-06-01,1.1148600
2023-07-01,1.3092147
2023-08-01,1.3411725
2023-09-01,1.3632687
2023-10-01,1.4604398
2023-11-01,1.4445712
2023-12-01,1.3498560
2024-01-01,1.3239901
2024-02-01,1.2947154
2024-03-01,1.3377186
2024-04-01,1.3444391
2024-05-01,1.3870562
2024-06-01,1.3476623
2024-07-01,1.3439086
2024-08-01,1.2713805
2024-09-01,1.2509449
2024-10-01,1.2257438
2024-11-01,1.3885993
2024-12-01,1.3392721
